Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCHM     ,Q.OT      ,36243,TNA ,Horizon Medical Center
COCRX     ,G.OB      ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.CCGEN   ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.SC      ,30949,FLG ,Blake Medical Center
COCSY     ,SM.LACT   ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.PK-NOTE ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.MR      ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.CA      ,8540,VAC ,Reston Hospital Center
COCNP     ,E.HRC     ,30941,FLG ,Medical Center of Trinity
Riverside ,?,7156,1SQI,Riverside
COCEW     ,MADCOCEW  ,37934,FLG ,Edward White Hospital
COCIX     ,F.POD     ,54325,TXF ,Surgicare Of Central San Anton
COCWR     ,H.OP513C  ,30928,FLI ,West Florida Hospital
COCICC    ,MADCOCICC ,3449,VAA ,"Chesterfield Imaging, LLC"
COCAA     ,O.HH      ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.499MOB ,27100,COA ,Swedish Medical Center
COCCA     ,V.LABCDC  ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.MRI     ,30996,FLK ,St. Lucie Medical Center
COCAY     ,E.TEST2   ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,J.DEXA    ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.AMIN    ,34293,TNA ,Skyline Medical Center
COCICP    ,Q.RAD     ,23001,VAA ,Independence Park Imaging
COCBAX    ,E.ADM     ,6679,TXI ,St David's Pavilion
COCDC     ,Y.OPPYXIS ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.6CT     ,26110,FLB ,Mercy Hospital
COCSMC    ,SM.OR     ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.EEC     ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,D.STX     ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.ENDOMAB ,30916,FLL ,North Florida Regional Medical
COCICB    ,J.US      ,9798,VAA ,Buford Road Imaging
COCEAH    ,BA.RAD    ,27491,COA ,Spalding @ PSL
COCEAH_O  ,BA.DWN    ,25100,COA ,Spalding @ PSL
COCPJ     ,Z.2E      ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.RTX     ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,URISK     ,35940,FLB ,University Hospital
COCNH     ,N.ARAD    ,34329,TXG ,Medical City North Hills
COCSW     ,W.OPONCO  ,35955,FLC ,Southwest Florida Reg Med Cent
COCQC     ,M.ACU     ,32905,NHA ,Parkland Medical Center
Atlanta - ,?,9465,1SQI,Atlanta - Buckhead
COCMK     ,Q.DP      ,38333,TXG ,Medical City McKinney
COCYK     ,G.PREOPV  ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.PPU     ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.PLANTOP ,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.STX     ,37333,TXA ,Mainland Medical Center
COCGO     ,M.SURGMOH ,30572,CAA ,Good Samaritan Hospital
COCQV     ,F.XOR     ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.GEN     ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,Z.COCGV03 ,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.TEST    ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.HH      ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.2CENTER ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.AM      ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
COCCE     ,RADIOLOGY ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.ANG     ,34325,TXG ,Medical City Dallas
COCRPC    ,L.MATMGT  ,9729,KSA ,Research Psychiatric Center
COCPOP    ,F.VR      ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.RWMC    ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.2E      ,9727,KSA ,Research Medical Center
COCIRF    ,REFHRMC   ,8296,IRL ,Integrated Regional Laboratory
COCGHA    ,G.HHL     ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.ER      ,26535,FLQ ,Tampa Community Hospital
COCMEN    ,X.HIMTRANS,9723,KSA ,Menorah Medical Center
COCRM     ,M.PF      ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.OIC     ,30902,FLF ,Osceola Regional Medical Cente
COCTN     ,MM.TRIAGE ,25070,TNA ,Skyline Madison Campus
COCGBA    ,N.AUSSH   ,6678,TXI ,St David's Rehab
COCTR     ,D.SCPC    ,34001,SCA ,Trident Regional Medical Cente
COCGTH    ,V.ER.IN   ,25067,TXI ,St. David's Georgetown
COCSK     ,J.ED HOLD ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.OPST    ,37941,FLG ,South Bay Hospital
COCSN     ,N.TICU    ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.PTOT   ,26890,TXF ,Methodist Hospital South
COCAT     ,V.LEVJE   ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,J.IM      ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.ROG     ,8224,TXI ,North Austin Medical Center
COCEJC    ,EJ.PHA    ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.WDOC   ,27150,COA ,Sky Ridge Medical Center
COCTG     ,3E SURG   ,31408,INA ,Terre Haute Regional Hospital
COCDAT    ,Y.MR      ,6610,TXF ,"Northeast Methodist Surgicare,"
COCDT     ,D.EDLR    ,36930,FLC ,Doctors Hospital Of Sarasota
COCMCI    ,M.LD      ,9725,KSA ,Medical Ctr Of Independence (C
COCFV     ,F.SRF     ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.ERPSYC  ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.GPHA    ,30954,FLI ,Capital Regional Medical Cente
COCWV     ,F.PAIN    ,50599,CAC ,West Hills Surgery Ctr
COCEI     ,Z.DIABED  ,34206,TNB ,Parkridge East Hospital
COCWM     ,W.FSTRK   ,39385,TXF ,Methodist Hospital
COCLSU    ,W.ACC     ,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.SA2    ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.HR      ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.RX      ,34310,TXG ,Medical City Plano
COCLV     ,F.ERBEHAV ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.OR      ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.ANES    ,32819,NVA ,Mountainview Hospital
COCDO     ,D.DPAC    ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.RHB    ,34011,SCA ,Colleton Medical Center
COCSU     ,G.WST1    ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.TELEER ,26790,TXG ,Medical City Frisco
COCWY     ,W.2NS     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JDOMCS  ,34632,VAA ,CJW Medical Center
.         ,4SHDC     ,37969,FLJ ,JFK Medical Center
COCSED    ,SE.OBV    ,27101,COA ,SOUTHWEST ER
COCCR     ,B.TEL     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.TL      ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.PHYLOUNG,38329,TXG ,Medical City Denton
COCRZ     ,BK.ACCT   ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,Z.PACU    ,9726,KSA ,Centerpoint Medical Center
COCMT     ,Q.LAB     ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.ER8     ,30933,FLK ,Raulerson Hospital
COCKW     ,C.SUR1    ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.EK      ,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.ORS    ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.CA      ,34407,UTA ,St Mark's Hospital
COCSO     ,H.LABCS   ,34242,TNA ,Southern Hills Medical Center
COCJU     ,K.ALL     ,58991,FLC ,Doctors Same Day Surgery
COCBM     ,V.MNT     ,38340,TXA ,Bayshore Medical Center
MSH       ,V.LABNP   ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.EDIA    ,34318,TXG ,Medical City Fort Worth
COCST     ,L.CL      ,39307,TXB ,Las Palmas Medical Center
COCSOA    ,E.SEHOLD  ,26111,FLB ,Sister Emmanuel LTC Hospital
COCZN     ,D.PRM     ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,MADCOCIE  ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.CNO     ,6676,TXI ,St David's Medical Center
COCRR     ,H.EPHT    ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.ONC     ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.MAIL    ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,SM.CE     ,30936,FLG ,Largo Medical Center
COCWC     ,WCLANSY098,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.US      ,27200,COA ,P-SL Medical Center
COCTD     ,NP.CSR    ,25073,TNA ,Portland Medical Center
COCPMA    ,Y.WCC     ,26450,FLF ,Poinciana Medical Center
COCPF     ,D.ASU     ,37940,FLJ ,Palms West Hospital
COCRH     ,G.END     ,34626,VAA ,Retreat Hospital
COCSDA    ,G.AM      ,26825,TXI ,St. David's Surgical Hospital
COCVA     ,VR.SLEEP  ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EU.ORLAL  ,33608,OKA ,OU Medical Center
COCHU     ,X.RC      ,31057,GAA ,Hughston Orthopedic Hospital
COCICF    ,G.MAMM    ,23023,SCA ,Carolina Forest Imaging Center
COCSJ     ,J.CARD    ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.PREADM  ,36205,TNB ,GRANDVIEW MEDICAL CENTER
COCBT     ,J.BSSC    ,50971,FLC ,"Bonita Bay Surgery Center, Ltd"
COCAO     ,M.ROOMG   ,31801,LAA ,AVOYELLES HOSPITAL
Tallahasse,?,50950,1SQI,Tallahassee
COCLN     ,Q.FINK    ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.BILI    ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.TEST    ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.NEUROCM ,34222,TNA ,Centennial Medical Center
COCSL     ,A.CTS     ,37355,TXA ,East Houston Medical Center
COCNW     ,H.MDFEE   ,30995,FLB ,Northwest Medical Center
COCMS     ,E.REC     ,36956,FLH ,Specialty Hospital Jacksonvill
COCDWC    ,Y.US      ,25551,FLH ,Deerwood Imaging At Center One
COCSHA    ,z.EIT.AR10,26630,VAC ,StoneSprings Hospital Center
COCEH     ,X.LAB     ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.PTD    ,27300,COA ,Rose Medical Center
COCOH     ,K.FS      ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.NUR     ,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.MCRB    ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.ID      ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.PAY     ,34223,TNA ,Summit Medical Center
COCTE     ,Y.DS      ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.TRICARE ,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.MUE     ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.IV     ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.BO      ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,COCFI     ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.DL      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.FNS     ,36243,TNA ,Horizon Medical Center
COCRX     ,G.XI94    ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.2 PACU  ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.HH      ,30949,FLG ,Blake Medical Center
COCSY     ,SM.EROFOB ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.XI3     ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.TSU     ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.ENG     ,8540,VAC ,Reston Hospital Center
COCNP     ,E.TEST    ,30941,FLG ,Medical Center of Trinity
COCEW     ,D.PY      ,37934,FLG ,Edward White Hospital
COCIX     ,F.DEN     ,54325,TXF ,Surgicare Of Central San Anton
COCWR     ,H.EDOP3   ,30928,FLI ,West Florida Hospital
COCICC    ,L.MRI     ,3449,VAA ,"Chesterfield Imaging, LLC"
COCAA     ,E.CDECHO  ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.PSLC   ,27100,COA ,Swedish Medical Center
COCCA     ,V.NEU     ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.NEURO   ,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.UROLOGY ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,J.PTOT    ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.SDC-205 ,34293,TNA ,Skyline Medical Center
COCICP    ,MADCOCICP ,23001,VAA ,Independence Park Imaging
COCBAX    ,E.AMP     ,6679,TXI ,St David's Pavilion
COCDC     ,Y.PHA     ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.DIABED  ,26110,FLB ,Mercy Hospital
COCSMC    ,MADCOCSMC ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.SAMEDAY ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,D.SSV     ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.D.OR.MAI,30916,FLL ,North Florida Regional Medical
COCICB    ,J.MAMMO   ,9798,VAA ,Buford Road Imaging
COCEAH    ,BA.CM     ,27491,COA ,Spalding @ PSL
COCEAH_O  ,BA.TRICARE,25100,COA ,Spalding @ PSL
COCPJ     ,Z.PEDS    ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.PL      ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,GRAND2    ,35940,FLB ,University Hospital
COCNH     ,N.LABM    ,34329,TXG ,Medical City North Hills
COCSW     ,W.ZCMED   ,35955,FLC ,Southwest Florida Reg Med Cent
COCQC     ,M.LAB WPHC,32905,NHA ,Parkland Medical Center
COCMK     ,Q.EMERG   ,38333,TXG ,Medical City McKinney
COCYK     ,GM.FNSW   ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.OBS     ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.PT      ,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.DWC     ,37333,TXA ,Mainland Medical Center
COCGO     ,3CV       ,30572,CAA ,Good Samaritan Hospital
COCQV     ,F.PRE     ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.NA      ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,AA.MM     ,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.JEFF    ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.POD     ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.VOL     ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.PATH    ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
COCCE     ,PARMCOCCE ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.PEDPREIN,34325,TXG ,Medical City Dallas
COCRPC    ,L.IC      ,9729,KSA ,Research Psychiatric Center
COCPOP    ,F.OPRD    ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.ZSEA    ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.BIOMED  ,9727,KSA ,Research Medical Center
COCIRF    ,REFHRMCP  ,8296,IRL ,Integrated Regional Laboratory
COCGHA    ,E.CDU     ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.PY      ,26535,FLQ ,Tampa Community Hospital
COCMEN    ,X.INFUCLIN,9723,KSA ,Menorah Medical Center
COCRM     ,M.LASER   ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.MSICU   ,30902,FLF ,Osceola Regional Medical Cente
COCTN     ,MM.OPTIONS,25070,TNA ,Skyline Madison Campus
COCGBA    ,N.CI      ,6678,TXI ,St David's Rehab
COCTR     ,D.BCMH    ,34001,SCA ,Trident Regional Medical Cente
COCGTH    ,V.PLT     ,25067,TXI ,St. David's Georgetown
COCSK     ,J.TRAIN   ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.HH      ,37941,FLG ,South Bay Hospital
COCSN     ,N.ZTEXSA  ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.DIRECT ,26890,TXF ,Methodist Hospital South
COCAT     ,V.MED     ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,JM.TEST   ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.PAS     ,8224,TXI ,North Austin Medical Center
COCEJC    ,EJ.ERUNA  ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.LABADMN,27150,COA ,Sky Ridge Medical Center
COCTG     ,H.OP      ,31408,INA ,Terre Haute Regional Hospital
COCDAT    ,Y.ORTH    ,6610,TXF ,"Northeast Methodist Surgicare,"
COCDT     ,C.NM      ,36930,FLC ,Doctors Hospital Of Sarasota
COCMCI    ,M.EEG     ,9725,KSA ,Medical Ctr Of Independence (C
COCFV     ,F.DYL     ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.C5      ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.7FL     ,30954,FLI ,Capital Regional Medical Cente
COCWV     ,F.ORTH    ,50599,CAC ,West Hills Surgery Ctr
COCEI     ,E.HOME    ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.OPPS    ,39385,TXF ,Methodist Hospital
COCLSU    ,PARMCOCLSU,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.SA1    ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.VA      ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.PMTWNDW ,34310,TXG ,Medical City Plano
COCLV     ,F.LCA     ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.ACU     ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.SPD     ,32819,NVA ,Mountainview Hospital
COCDO     ,D.PATH    ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.4 W    ,34011,SCA ,Colleton Medical Center
COCSU     ,G.COSTAL  ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.PDOC   ,26790,TXG ,Medical City Frisco
COCWY     ,J.FSO     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.LABCR   ,34632,VAA ,CJW Medical Center
.         ,ZZAN5     ,37969,FLJ ,JFK Medical Center
COCSED    ,SE.US/NIVA,27101,COA ,SOUTHWEST ER
COCCR     ,B.CCU     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.ONC     ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.ADM2    ,38329,TXG ,Medical City Denton
COCRZ     ,BK.PAT    ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,I.TFR     ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.FHC     ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,ZZKMU13   ,30933,FLK ,Raulerson Hospital
COCKW     ,C.MIS     ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.IS      ,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.XI13   ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,BB        ,34407,UTA ,St Mark's Hospital
COCSO     ,H.IVT     ,34242,TNA ,Southern Hills Medical Center
COCJU     ,K.ENT     ,58991,FLC ,Doctors Same Day Surgery
COCBM     ,V.ERSR    ,38340,TXA ,Bayshore Medical Center
MSH       ,V.SOCS    ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.MAR     ,34318,TXG ,Medical City Fort Worth
COCST     ,ONCS      ,39307,TXB ,Las Palmas Medical Center
COCSOA    ,MADCOCSOA ,26111,FLB ,Sister Emmanuel LTC Hospital
COCZN     ,D.VRFM    ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.EDFT    ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.MAC     ,6676,TXI ,St David's Medical Center
COCRR     ,H.PHAR    ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.ULS     ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.CARD    ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,M.NE      ,30936,FLG ,Largo Medical Center
COCWC     ,Z.CPN     ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.LAB     ,27200,COA ,P-SL Medical Center
COCTD     ,Z.COCTD03 ,25073,TNA ,Portland Medical Center
COCPMA    ,Y.PAT     ,26450,FLF ,Poinciana Medical Center
COCPF     ,D.ER      ,37940,FLJ ,Palms West Hospital
COCRH     ,G.ANG     ,34626,VAA ,Retreat Hospital
COCSDA    ,G.ICU     ,26825,TXI ,St. David's Surgical Hospital
COCVA     ,VR.IS2    ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EUR.EDOKC ,33608,OKA ,OU Medical Center
COCHU     ,X.PREADMIT,31057,GAA ,Hughston Orthopedic Hospital
COCICF    ,PARMCOCICF,23023,SCA ,Carolina Forest Imaging Center
COCSJ     ,J.PROG    ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.DURA    ,36205,TNB ,GRANDVIEW MEDICAL CENTER
COCBT     ,J.BBPC    ,50971,FLC ,"Bonita Bay Surgery Center, Ltd"
COCAO     ,M.MOUEL   ,31801,LAA ,AVOYELLES HOSPITAL
COCLN     ,Q.HMG     ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.MCRB    ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.PACU    ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.SHENDO  ,34222,TNA ,Centennial Medical Center
COCSL     ,A.PHAW    ,37355,TXA ,East Houston Medical Center
COCNW     ,J.SNU     ,30995,FLB ,Northwest Medical Center
COCMS     ,E.BIO-MED ,36956,FLH ,Specialty Hospital Jacksonvill
COCDWC    ,Y.NM      ,25551,FLH ,Deerwood Imaging At Center One
COCSHA    ,E.AC      ,26630,VAC ,StoneSprings Hospital Center
COCEH     ,E.BLEM    ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.DPED   ,27300,COA ,Rose Medical Center
COCOH     ,K.MICD    ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.VNRS    ,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.CM      ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.4SPC    ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.SDC-508 ,34223,TNA ,Summit Medical Center
COCTE     ,Y.DSU     ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.PE      ,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.4NIC3   ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.PFM    ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.OS      ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.BCDIA  ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.BD      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.NICMRI  ,36243,TNA ,Horizon Medical Center
COCRX     ,H.HH      ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.DIABETES,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.ONCNAV  ,30949,FLG ,Blake Medical Center
COCSY     ,SM.ENV    ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.EEG     ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.2N      ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.EX      ,8540,VAC ,Reston Hospital Center
COCNP     ,E.SPC     ,30941,FLG ,Medical Center of Trinity
COCEW     ,D.MK      ,37934,FLG ,Edward White Hospital
COCIX     ,F.ERHOLD  ,54325,TXF ,Surgicare Of Central San Anton
COCWR     ,H.HBO     ,30928,FLI ,West Florida Hospital
COCICC    ,L.US      ,3449,VAA ,"Chesterfield Imaging, LLC"
COCAA     ,G.MOP     ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.PEDOBOF,27100,COA ,Swedish Medical Center
COCCA     ,V.RAD     ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.ORHOLDOT,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.GAST    ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,J.NUTR    ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.CSH     ,34293,TNA ,Skyline Medical Center
COCICP    ,Q.CT      ,23001,VAA ,Independence Park Imaging
COCBAX    ,E.OAO     ,6679,TXI ,St David's Pavilion
COCDC     ,Y.NDL     ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.CPOETEST,26110,FLB ,Mercy Hospital
COCSMC    ,SM.PBX    ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.RECER   ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,D.MB      ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.D.ICU6  ,30916,FLL ,North Florida Regional Medical
COCICB    ,J.RAD     ,9798,VAA ,Buford Road Imaging
COCEAH    ,BA.HH     ,27491,COA ,Spalding @ PSL
COCPJ     ,Z.EXP     ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.BCCH    ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,UREG      ,35940,FLB ,University Hospital
COCNH     ,N.OHS     ,34329,TXG ,Medical City North Hills
COCSW     ,W.CM      ,35955,FLC ,Southwest Florida Reg Med Cent
COCQC     ,M.AD SCAN ,32905,NHA ,Parkland Medical Center
COCMK     ,Q.TEL     ,38333,TXG ,Medical City McKinney
COCYK     ,G.CARD.2  ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.SCLA    ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.NRSY    ,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.DED     ,37333,TXA ,Mainland Medical Center
COCGO     ,M.CTGSH   ,30572,CAA ,Good Samaritan Hospital
COCQV     ,F.DS      ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.OICMRI  ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,AA.OFFSITE,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.EKG     ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.ENT     ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
